pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
Ek79plFNDLDWFUbai7PqLA,19.47234574111542,-99.11550281762823,,,,False,199.20723662376403,24,15,0.625,0.46815788745880127,135,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_Ek79plFNDLDWFUbai7PqLA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/Ek79plFNDLDWFUbai7PqLA.jpg,
6mNnV_ogEXAKE4B1UUvngw,19.47606161725574,-99.11451458866082,,,,False,198.9440257549286,30,15,0.5,0.43980085849761963,45,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_6mNnV_ogEXAKE4B1UUvngw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/6mNnV_ogEXAKE4B1UUvngw.jpg,
JnLdgRITx-pPOLykLK8-Gw,19.47709082715731,-99.11458220926892,,,,False,198.75387865304947,20,15,0.75,0.4626292884349823,90,-4,full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_JnLdgRITx-pPOLykLK8-Gw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/JnLdgRITx-pPOLykLK8-Gw.jpg,
QArdyW2GXKf4f7MKI1N9-g,19.47276252221522,-99.11337078757954,,,,False,198.2641851120525,27,15,0.5555555555555556,0.4275098741054535,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_QArdyW2GXKf4f7MKI1N9-g.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/QArdyW2GXKf4f7MKI1N9-g.jpg,
03zXqa9ZJv7Ul_HKqsTOXg,19.47351879525474,-99.11458676796366,,,,False,197.98641997973124,36,15,0.4166666666666667,0.38482511043548584,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_03zXqa9ZJv7Ul_HKqsTOXg.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/03zXqa9ZJv7Ul_HKqsTOXg.jpg,
3aQeiM8xqiIDr5MX51HwZQ,19.47706322450262,-99.11366186478529,,,,False,197.4285394228738,29,15,0.5172413793103449,0.39284786581993103,45,-4,full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_3aQeiM8xqiIDr5MX51HwZQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/3aQeiM8xqiIDr5MX51HwZQ.jpg,
mpaPkA8IWE40QuZYLS85OA,19.4750417844222,-99.11399709451824,,,,False,197.0227793455124,40,15,0.375,0.33617597818374634,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_mpaPkA8IWE40QuZYLS85OA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/mpaPkA8IWE40QuZYLS85OA.jpg,
aswwa6S6uIRF4zjPG_k7DQ,19.47328142797915,-99.12257400088845,,,,False,196.88864719867706,30,15,0.5,0.3712882399559021,315,-4,full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_aswwa6S6uIRF4zjPG_k7DQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/aswwa6S6uIRF4zjPG_k7DQ.jpg,
R0uT1NjOHPPdd6EVq6qqPA,19.47570320703063,-99.12230670000748,,,,False,196.81103879213333,25,15,0.6,0.3853679597377777,0,-4,street_depth,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_R0uT1NjOHPPdd6EVq6qqPA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/R0uT1NjOHPPdd6EVq6qqPA.jpg,
tN7sV8c-r7Ls0CwHF7sP5g,19.47561994970163,-99.12300830340585,,,,False,195.2930681654385,28,15,0.5357142857142857,0.3251260817050934,270,-4,street_depth,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_tN7sV8c-r7Ls0CwHF7sP5g.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/tN7sV8c-r7Ls0CwHF7sP5g.jpg,
zGxa8C4lM_vmnTk2uXFRYA,19.47498045832863,-99.1241428707732,,,,False,195.15225736413683,21,15,0.7142857142857143,0.3405514359474182,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_zGxa8C4lM_vmnTk2uXFRYA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/zGxa8C4lM_vmnTk2uXFRYA.jpg,
phWmM79mGl1JhRRDfzQ-YA,19.47324299339573,-99.11561712407472,,,,False,193.99605553150178,32,15,0.46875,0.26747268438339233,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_phWmM79mGl1JhRRDfzQ-YA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/phWmM79mGl1JhRRDfzQ-YA.jpg,
ZcTddH1nqAarlMmvUBdf5Q,19.47388362720963,-99.12327214502669,,,,False,193.2611689246934,29,15,0.5172413793103449,0.2539355158805847,180,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_ZcTddH1nqAarlMmvUBdf5Q.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/ZcTddH1nqAarlMmvUBdf5Q.jpg,
VCi84P_H1Xrv9XU6X_oIag,19.47754470645637,-99.11679346004264,,,,False,192.6400899144911,31,15,0.4838709677419355,0.22601374983787537,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_VCi84P_H1Xrv9XU6X_oIag.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/VCi84P_H1Xrv9XU6X_oIag.jpg,
jT9JBU_251EVKIuFPhk65Q,19.47415832076441,-99.12052527983793,,,,False,192.04219669653818,26,15,0.5769230769230769,0.22332963347434998,45,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_jT9JBU_251EVKIuFPhk65Q.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/jT9JBU_251EVKIuFPhk65Q.jpg,
