pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
eudYskX3Jtrb2O-v-kmBuw,19.4747955535991,-99.11936374774598,,,,False,1086.5,110,88,0.8,0.6981296539306641,0,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_eudYskX3Jtrb2O-v-kmBuw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/eudYskX3Jtrb2O-v-kmBuw.jpg,
2di2OqcLkxlD_2iX6v7V7g,19.47460582546249,-99.12107059281604,,,,False,1074.0647482014388,139,87,0.6258992805755396,0.757582426071167,270,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_2di2OqcLkxlD_2iX6v7V7g.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/2di2OqcLkxlD_2iX6v7V7g.jpg,
HYxrYF6bmH8UKxsRhFr1iA,19.47238488683033,-99.12350795685118,,,,False,1069.8081341385841,116,87,0.75,0.34777113795280457,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_HYxrYF6bmH8UKxsRhFr1iA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/HYxrYF6bmH8UKxsRhFr1iA.jpg,
NIcv9vNaAi-Tpo48HIj9SQ,19.47084567547757,-99.11903145035146,,,,False,1062.65,100,86,0.86,0.6140356659889221,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_NIcv9vNaAi-Tpo48HIj9SQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/NIcv9vNaAi-Tpo48HIj9SQ.jpg,
WdhvWrtiaNTMGSXcf1uLlA,19.47146404259573,-99.11454320711344,,,,False,1035.741454847481,92,84,0.9130434782608695,0.39862820506095886,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_WdhvWrtiaNTMGSXcf1uLlA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/WdhvWrtiaNTMGSXcf1uLlA.jpg,
jPc7V1x7NtIo0OL653sDgA,19.47195028019058,-99.11872363748446,,,,False,1026.304347826087,115,83,0.7217391304347827,0.7771819233894348,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_jPc7V1x7NtIo0OL653sDgA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/jPc7V1x7NtIo0OL653sDgA.jpg,
q0C6Md6KEf9U_QxfpUMVaQ,19.46964176652033,-99.11680595458975,,,,False,1002.3007558830005,97,81,0.8350515463917526,0.4904375672340393,225,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_q0C6Md6KEf9U_QxfpUMVaQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/q0C6Md6KEf9U_QxfpUMVaQ.jpg,
nX4kRTDyiNiq6TQ5gUBI_A,19.47223865053207,-99.12298246808118,,,,False,999.2559375140519,113,81,0.7168141592920354,0.3987967371940613,270,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_nX4kRTDyiNiq6TQ5gUBI_A.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/nX4kRTDyiNiq6TQ5gUBI_A.jpg,
PrQRve_aCdmY92BEHJyyqA,19.47895842309259,-99.11938232132002,,,,False,976.502440419462,90,79,0.8777777777777778,0.4269331991672516,270,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_PrQRve_aCdmY92BEHJyyqA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/PrQRve_aCdmY92BEHJyyqA.jpg,
TZCn04McsW025V0C8BarCA,19.47059713588475,-99.11517728997434,,,,False,954.6388888888889,90,77,0.8555555555555555,0.5004648566246033,0,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_TZCn04McsW025V0C8BarCA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/TZCn04McsW025V0C8BarCA.jpg,
